 (4.763156771659851074e-01+3.725290298461914062e-09j)  (-1.065575331449508667e-02+8.213305845856666565e-04j)  (-1.065576076507568359e-02-8.213301189243793488e-04j)  (5.236846208572387695e-01+0.000000000000000000e+00j)
 (3.337073028087615967e-01-6.984919309616088867e-10j)  (-3.376145362854003906e-01-2.395099587738513947e-02j)  (-3.376145660877227783e-01+2.395099587738513947e-02j)  (6.662945747375488281e-01-2.910383045673370361e-11j)
 (5.263862609863281250e-01-5.820766091346740723e-11j)  (7.567003369331359863e-03+1.694099046289920807e-04j)  (7.567010819911956787e-03-1.694099046289920807e-04j)  (4.736171364784240723e-01-3.725290298461914062e-09j)
 (5.482733845710754395e-01+0.000000000000000000e+00j)  (-2.216689437627792358e-01+1.490649580955505371e-01j)  (-2.216689735651016235e-01-1.490649431943893433e-01j)  (4.517292976379394531e-01+1.862645149230957031e-09j)
 (4.496332705020904541e-01-7.450580596923828125e-09j)  (-1.556491255760192871e-01+3.295167163014411926e-02j)  (-1.556491255760192871e-01-3.295167908072471619e-02j)  (5.503666996955871582e-01-3.725290298461914062e-09j)
 (4.773691892623901367e-01-1.862645149230957031e-09j)  (3.631404042243957520e-02-2.050229907035827637e-02j)  (3.631402552127838135e-02+2.050229907035827637e-02j)  (5.226305723190307617e-01+3.725290298461914062e-09j)
 (2.331536114215850830e-01+1.164153218269348145e-10j)  (1.474244054406881332e-02+3.134799376130104065e-02j)  (1.474243868142366409e-02-3.134799003601074219e-02j)  (7.668513059616088867e-01+0.000000000000000000e+00j)
 (5.260906219482421875e-01+7.450580596923828125e-09j)  (2.775928750634193420e-02+1.142793893814086914e-01j)  (2.775928750634193420e-02-1.142793893814086914e-01j)  (4.739135205745697021e-01+0.000000000000000000e+00j)
 (3.377504050731658936e-01+7.450580596923828125e-09j)  (-1.003390103578567505e-01-1.908861398696899414e-01j)  (-1.003390029072761536e-01+1.908861398696899414e-01j)  (6.622541546821594238e-01+9.313225746154785156e-10j)
 (4.651726782321929932e-01+3.725290298461914062e-09j)  (6.257556378841400146e-03+1.128062605857849121e-02j)  (6.257556378841400146e-03-1.128062605857849121e-02j)  (5.348287820816040039e-01-4.190951585769653320e-09j)
 (8.356807231903076172e-01+1.862645149230957031e-09j)  (3.279278054833412170e-02+5.712385289371013641e-03j)  (3.279277682304382324e-02-5.712385289371013641e-03j)  (1.643182188272476196e-01-4.947651177644729614e-10j)
 (4.338527917861938477e-01+0.000000000000000000e+00j)  (9.224672615528106689e-02+1.997649669647216797e-03j)  (9.224674105644226074e-02-1.997649669647216797e-03j)  (5.661515593528747559e-01-1.490116119384765625e-08j)
 (4.379660487174987793e-01-7.450580596923828125e-09j)  (-1.719464808702468872e-01+6.194107234477996826e-03j)  (-1.719464957714080811e-01-6.194114685058593750e-03j)  (5.620366334915161133e-01+1.490116119384765625e-08j)
