 (5.411927700042724609e-01+1.117587089538574219e-08j)  (1.200448274612426758e-01+4.638835787773132324e-02j)  (1.200448125600814819e-01-4.638832807540893555e-02j)  (4.588064849376678467e-01+0.000000000000000000e+00j)
 (6.883233189582824707e-01+4.656612873077392578e-10j)  (2.373379915952682495e-01+1.404255628585815430e-03j)  (2.373379915952682495e-01-1.404260285198688507e-03j)  (3.116762042045593262e-01+0.000000000000000000e+00j)
 (5.372968912124633789e-01+0.000000000000000000e+00j)  (-3.576971590518951416e-02+4.065382480621337891e-02j)  (-3.576971590518951416e-02-4.065382480621337891e-02j)  (4.627042710781097412e-01+0.000000000000000000e+00j)
 (5.878922939300537109e-01+0.000000000000000000e+00j)  (4.891937971115112305e-02+8.970082551240921021e-02j)  (4.891937226057052612e-02-8.970084041357040405e-02j)  (4.121094048023223877e-01+7.450580596923828125e-09j)
 (5.035409927368164062e-01+0.000000000000000000e+00j)  (4.231043159961700439e-03+1.128386855125427246e-01j)  (4.231043159961700439e-03-1.128386855125427246e-01j)  (4.964578449726104736e-01+0.000000000000000000e+00j)
 (5.019496679306030273e-01+0.000000000000000000e+00j)  (1.256196796894073486e-01-2.486186474561691284e-02j)  (1.256196796894073486e-01+2.486187219619750977e-02j)  (4.980518817901611328e-01-7.450580596923828125e-09j)
 (5.358766317367553711e-01+0.000000000000000000e+00j)  (4.831349849700927734e-02+8.392214775085449219e-03j)  (4.831349849700927734e-02-8.392214775085449219e-03j)  (4.641244411468505859e-01-1.862645149230957031e-08j)
 (6.888116002082824707e-01+7.334165275096893311e-09j)  (3.663149848580360413e-02+2.403683587908744812e-02j)  (3.663149848580360413e-02-2.403683960437774658e-02j)  (3.111880123615264893e-01-4.656612873077392578e-10j)
 (3.195907473564147949e-01+3.725290298461914062e-09j)  (-1.451216824352741241e-02-7.996508479118347168e-02j)  (-1.451216917484998703e-02+7.996509969234466553e-02j)  (6.804093718528747559e-01+5.820766091346740723e-11j)
 (6.909192800521850586e-01+0.000000000000000000e+00j)  (4.294730126857757568e-01+1.247027069330215454e-01j)  (4.294730126857757568e-01-1.247027069330215454e-01j)  (3.090824186801910400e-01+0.000000000000000000e+00j)
 (4.482326507568359375e-01-1.979060471057891846e-09j)  (5.920786410570144653e-03+3.923969343304634094e-03j)  (5.920782685279846191e-03-3.923969343304634094e-03j)  (5.517690181732177734e-01+0.000000000000000000e+00j)
 (4.966502785682678223e-01+0.000000000000000000e+00j)  (-2.875184714794158936e-01+1.960395276546478271e-01j)  (-2.875184416770935059e-01-1.960395276546478271e-01j)  (5.033497810363769531e-01-1.490116119384765625e-08j)
