0	7	10	10	10	7	5	6	12	6	2
1	12	4	6	9	7	13	5	10	9	7
2	9	5	4	9	9	10	5	6	9	10
3	9	4	7	5	7	8	9	12	6	2
4	8	7	6	9	10	7	10	6	6	10
5	6	9	12	6	10	11	4	8	9	6
6	6	7	7	6	6	8	9	6	11	6
7	9	4	4	9	10	12	5	10	6	10
8	6	6	12	12	10	8	6	9	5	6
9	6	12	5	12	10	10	10	9	4	8
10	10	8	9	12	7	8	6	10	12	7
11	6	8	9	5	12	12	9	12	9	12
12	8	6	9	5	12	4	7	5	8	6
13	12	10	6	4	5	8	11	9	9	10
14	8	9	9	10	9	8	9	10	6	6
15	9	8	9	8	8	9	10	9	8	6
16	6	5	8	9	8	8	6	9	9	6
17	8	5	12	6	9	7	8	8	6	10
18	6	6	8	12	8	7	9	12	9	10
19	9	9	9	7	5	6	8	9	8	12
20	9	8	6	6	12	9	8	6	10	13
21	9	12	6	11	8	11	8	14	12	10
22	9	9	11	12	8	5	8	10	6	4
23	6	9	12	9	7	12	9	8	12	9
24	12	9	6	6	8	12	6	11	13	8
25	6	12	8	5	9	11	9	9	6	6
26	6	7	11	9	8	11	11	10	7	10
27	14	11	9	7	7	10	9	6	10	8
28	7	10	4	10	6	9	10	13	9	5
29	9	7	11	10	9	9	9	7	10	8
30	13	6	7	5	6	7	12	11	9	14
31	12	7	8	8	13	6	13	14	8	11
32	4	6	7	7	9	9	7	4	11	6
33	12	5	4	7	10	6	4	10	4	9
34	6	8	7	8	10	8	4	4	8	6
35	12	10	10	6	11	6	9	6	9	9
36	9	7	7	11	7	6	8	7	6	8
37	11	11	10	12	9	7	8	9	6	6
38	8	9	11	10	8	8	9	6	10	10
39	6	7	7	10	13	11	4	8	11	9
40	9	10	6	9	11	8	6	10	8	8
41	8	5	6	5	12	7	7	10	11	6
42	9	6	12	12	11	10	4	10	7	9
43	9	9	7	9	11	11	10	7	10	10
44	11	11	6	7	6	9	9	13	4	11
45	10	4	7	4	10	10	6	10	6	11
46	7	6	6	8	11	6	8	6	7	10
47	10	11	11	4	6	6	7	5	12	7
48	9	12	10	9	10	9	7	10	7	9
49	12	7	7	8	9	10	11	11	8	6
50	6	9	6	7	6	9	10	10	8	4
51	9	10	12	8	7	10	10	6	10	8
52	7	6	6	10	9	8	7	9	11	6
53	7	11	7	4	7	11	4	8	8	7
54	6	8	9	9	10	10	8	9	11	12
55	8	9	11	5	8	7	6	6	5	7
56	6	9	9	10	9	6	4	6	7	10
57	11	7	5	11	10	6	8	9	7	6
58	6	8	5	9	12	12	7	8	11	12
59	8	4	8	11	7	7	8	12	6	5
60	8	6	10	11	10	8	8	8	9	12
61	5	10	10	12	10	10	8	9	8	7
62	9	10	11	12	7	7	9	10	9	9
63	10	7	10	10	10	7	7	11	8	4
64	7	13	9	10	4	9	7	9	8	4
65	8	9	10	6	8	10	10	8	7	9
66	9	10	12	9	10	6	7	4	10	6
67	6	9	10	10	10	10	6	12	8	6
68	9	12	8	6	7	5	5	10	6	7
69	8	9	13	8	10	10	12	8	9	12
70	11	12	12	8	11	7	9	11	9	8
71	15	10	8	10	10	10	7	7	7	9
72	5	5	8	11	9	6	9	6	10	8
73	10	7	10	7	8	4	11	6	9	8
74	10	7	11	7	7	8	12	12	8	7
75	11	6	6	10	11	6	7	11	8	9
76	9	4	9	8	9	7	11	10	10	6
77	11	10	6	10	11	9	8	13	7	11
78	9	9	10	10	7	4	9	8	9	12
79	6	7	8	8	7	10	8	7	7	7
80	8	8	8	7	8	8	6	7	7	12
81	10	6	7	10	10	9	8	10	11	8
82	9	7	7	7	7	8	11	10	8	10
83	6	12	4	11	10	7	7	10	7	9
84	10	6	12	11	10	8	8	12	6	12
85	11	12	8	9	9	9	9	9	9	10
86	6	11	13	8	9	8	10	11	11	9
87	10	8	10	7	9	8	9	13	7	8
88	8	11	10	8	10	10	7	12	8	8
89	7	9	7	11	10	12	12	10	10	10
90	14	7	6	9	7	6	9	12	9	10
91	9	10	8	9	8	11	6	11	10	8
92	10	13	10	9	9	8	7	14	12	8
93	9	8	10	10	8	9	7	9	7	4
94	12	10	10	6	8	8	9	8	14	7
95	11	12	7	10	10	4	6	12	10	9
96	9	10	6	8	7	11	7	11	7	7
97	9	6	9	10	9	6	8	9	9	12
98	10	10	12	7	6	10	10	10	6	10
99	10	9	11	7	7	9	10	13	10	7
100	9	8	10	11	7	6	7	9	9	10
101	12	10	10	10	10	8	13	8	7	8
102	10	7	11	8	8	9	8	10	10	6
103	9	11	10	10	7	11	7	8	10	9
104	9	6	11	11	4	12	7	10	8	6
105	7	6	10	11	5	7	10	8	8	8
106	6	7	8	11	7	12	8	7	10	10
107	6	9	7	10	10	11	9	7	6	10
